brand_name,product_description,full_price,discount_price,avg_rating,number_of_rating,image_url,product_details,available_option
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",0.0,0.0,0.0,0.0,,,"Business Grey, $58.99$58.99', 'selected, Lavender Blue, $58.99$58.99', 'Retro Blue, $58.99$58.99"
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",0.0,0.0,0.0,0.0,,,"Business Grey, $58.99$58.99', 'Lavender Blue, $58.99$58.99', 'selected, Retro Blue, $58.99$58.99"
Veronic,Roll Up Keyboard Computer Waterproof 109 Keys Silent USB Wired Keyboard,0.0,0.0,0.0,0.0,"https://i5.walmartimages.com/seo/Roll-Up-Keyboard-Computer-Waterproof-109-Keys-Silent-USB-Wired-Keyboard_743f8920-4994-41e3-8370-72a203d1cc75.37b672ba26f725bf2623ff41ced79a91.jpeg?odnHeight=117&odnWidth=117&odnBg=FFFFFF', 'https://i5.walmartimages.com/seo/Roll-Up-Keyboard-Computer-Waterproof-109-Keys-Silent-USB-Wired-Keyboard_743f8920-4994-41e3-8370-72a203d1cc75.37b672ba26f725bf2623ff41ced79a91.jpeg?odnHeight=640&odnWidth=640&odnBg=FFFFFF",,"selected, As Shown, $9.08As Shown$9.08"
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",0.0,0.0,5.0,1.0,,,"selected, Business Grey, $54.99$54.99', 'Lavender Blue, $54.99$54.99', 'Retro Blue, $54.99$54.99"
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",63.99,54.99,0.0,0.0,,,"Business Grey, $54.99$54.99', 'selected, Lavender Blue, $54.99$54.99', 'Retro Blue, $54.99$54.99"
ATTACK SHARK,"ATTACK SHARK K86 Wireless Mechanical Keyboard 75% with TFT Color Display & Knob Apex Pro TKL, 2.4G/Bluetooth/USB-C Wired RGB Backlit, Hot Swappable",63.99,54.99,0.0,0.0,,,"Business Grey, $54.99$54.99', 'Lavender Blue, $54.99$54.99', 'selected, Retro Blue, $54.99$54.99"
Yamaha,Yamaha PSREW310 76-Key Touch Sensitive Portable Keyboard with PA130 Power Adapter,0.0,0.0,4.6,49.0,,,"selected, Black, $226.47Black$226.47"
Etuzhy,Etuzhy Slim USB Multimedia Wired Keyboard 78 Keys. Arabic Keyboard For Laptop And Computer,0.0,0.0,0.0,0.0,,,"selected, One Size, $18.02One Size$18.02"
Fxbar,Slim USB Multimedia Wired Keyboard 78 Keys. Keyboard For Laptop And Computer Wireless Keyboard Jelly Computer Wi Keyboard Keyboard Keyboard for Gaming Clear Keyboard Wireless Mini Keyboard Teal,0.0,0.0,0.0,0.0,,,"selected, Black, $20.43Black$20.43"
Tebru,"Keyboard, 78 Keys Computer Keyboard, Black Ultra Thin Wired Keyboard For , Universal Quiet Typing Keypad With USB Interfacefor  PC, , , Mac, Plug And Play",0.0,0.0,0.0,0.0,,,
